id,type,date,time
86766,1,2024-07-30,20:00:00
86767,1,2024-07-30,20:00:00
114,1,2024-07-30,20:00:00
3,1,2024-07-30,20:00:00
87099,1,2024-07-30,20:00:00
86768,1,2024-07-30,20:00:00
86924,1,2024-07-30,20:01:00
86765,1,2024-07-30,20:01:00
113,0,2024-07-31,05:34:00
3,0,2024-07-31,05:37:00
112,0,2024-07-31,05:42:00
86924,0,2024-07-31,05:43:00
111,0,2024-07-31,05:44:00
116,0,2024-07-31,05:47:00
114,0,2024-07-31,05:47:00
115,0,2024-07-31,05:48:00
86766,0,2024-07-31,05:48:00
86765,0,2024-07-31,05:50:00
86763,0,2024-07-31,05:53:00
86764,0,2024-07-31,05:53:00
87099,0,2024-07-31,05:53:00
117,0,2024-07-31,05:54:00
86767,0,2024-07-31,05:57:00
86768,0,2024-07-31,05:57:00
86769,0,2024-07-31,05:57:00
87099,1,2024-07-31,12:00:00
116,1,2024-07-31,14:37:00
86763,1,2024-07-31,18:00:00
115,1,2024-07-31,18:00:00
111,1,2024-07-31,18:00:00
86769,1,2024-07-31,18:00:00
113,1,2024-07-31,18:00:00
114,1,2024-07-31,18:00:00
86764,1,2024-07-31,18:00:00
3,1,2024-07-31,18:00:00
117,1,2024-07-31,18:00:00
86765,1,2024-07-31,18:01:00
112,1,2024-07-31,18:01:00
86768,1,2024-07-31,18:01:00
86767,1,2024-07-31,18:01:00
86766,1,2024-07-31,18:01:00
86924,1,2024-07-31,18:01:00
112,0,2024-08-01,05:36:00
3,0,2024-08-01,05:41:00
86764,0,2024-08-01,05:43:00
86763,0,2024-08-01,05:43:00
86924,0,2024-08-01,05:44:00
114,0,2024-08-01,05:46:00
115,0,2024-08-01,05:46:00
113,0,2024-08-01,05:48:00
86766,0,2024-08-01,05:50:00
86765,0,2024-08-01,05:52:00
87099,0,2024-08-01,05:53:00
111,0,2024-08-01,05:54:00
117,0,2024-08-01,05:55:00
86767,0,2024-08-01,05:56:00
116,0,2024-08-01,05:56:00
86768,0,2024-08-01,05:57:00
86769,0,2024-08-01,05:58:00
86763,1,2024-08-01,18:00:00
115,1,2024-08-01,18:00:00
116,1,2024-08-01,18:00:00
111,1,2024-08-01,18:00:00
113,1,2024-08-01,18:00:00
114,1,2024-08-01,18:00:00
86764,1,2024-08-01,18:00:00
86769,1,2024-08-01,18:00:00
3,1,2024-08-01,18:00:00
86767,1,2024-08-01,18:01:00
86924,1,2024-08-01,18:01:00
86768,1,2024-08-01,18:01:00
87099,1,2024-08-01,18:01:00
112,1,2024-08-01,18:01:00
86765,1,2024-08-01,18:02:00
117,1,2024-08-01,18:02:00
86766,1,2024-08-01,18:02:00
112,0,2024-08-02,05:42:00
86924,0,2024-08-02,05:42:00
3,0,2024-08-02,05:43:00
116,0,2024-08-02,05:45:00
114,0,2024-08-02,05:46:00
